customerid,recency,frequency,monetary,Cluster3,Cluster4,Cluster,ClusterLabel
15290,4,18,7943.220000000001,2,3,3,Loyal Customers
14849,21,25,7930.539999999997,2,3,3,Loyal Customers
12757,15,13,7857.099999999999,2,3,3,Loyal Customers
17811,4,39,7837.729999999989,2,3,3,Loyal Customers
13093,275,8,7832.469999999997,1,2,2,Lost Customers
12435,79,2,7829.889999999999,2,0,0,Potential Customers
13629,23,11,7792.36,2,0,0,Potential Customers
15044,19,17,7700.229999999997,2,3,3,Loyal Customers
15194,3,15,7616.529999999998,2,3,3,Loyal Customers
18172,14,20,7561.68,2,3,3,Loyal Customers
13263,1,35,7454.069999999956,2,3,3,Loyal Customers
12474,17,18,7375.790000000002,2,3,3,Loyal Customers
12980,157,9,7374.9000000000015,2,0,0,Potential Customers
15465,19,18,7354.620000000001,2,3,3,Loyal Customers
17396,39,8,7330.800000000001,2,0,0,Potential Customers
12583,2,15,7281.379999999992,2,3,3,Loyal Customers
13018,16,28,7277.699999999997,2,3,3,Loyal Customers
18229,11,20,7276.900000000001,2,3,3,Loyal Customers
16923,12,19,7247.609999999979,2,3,3,Loyal Customers
16729,38,21,7239.919999999983,2,3,3,Loyal Customers
16745,86,17,7194.300000000005,2,3,3,Loyal Customers
16873,4,6,7123.619999999997,2,0,0,Potential Customers
13324,36,10,7121.949999999994,2,0,0,Potential Customers
13985,4,15,7060.130000000006,2,3,3,Loyal Customers
14961,10,9,7044.680000000001,2,0,0,Potential Customers
12766,3,7,6989.63,2,0,0,Potential Customers
12798,10,3,6977.04,2,0,0,Potential Customers
12989,3,15,6924.109999999996,2,3,3,Loyal Customers
16713,18,15,6923.130000000009,2,3,3,Loyal Customers
13027,113,6,6912.0,2,0,0,Potential Customers
16187,31,15,6911.44,2,3,3,Loyal Customers
17416,29,7,6893.420000000003,2,0,0,Potential Customers
12705,15,9,6868.290000000003,2,0,0,Potential Customers
12476,15,11,6816.4200000000055,2,0,0,Potential Customers
12830,37,6,6814.640000000001,2,0,0,Potential Customers
15023,3,11,6802.759999999989,2,0,0,Potential Customers
18055,7,10,6784.19,2,0,0,Potential Customers
15601,11,14,6776.559999999997,2,3,3,Loyal Customers
16652,58,7,6773.970000000001,2,0,0,Potential Customers
16532,17,3,6748.799999999999,2,0,0,Potential Customers
13576,10,18,6717.34,2,3,3,Loyal Customers
16746,4,18,6697.660000000009,2,3,3,Loyal Customers
15249,31,13,6688.4600000000055,2,3,3,Loyal Customers
16353,3,23,6675.709999999997,2,3,3,Loyal Customers
17338,17,8,6643.929999999995,2,0,0,Potential Customers
12626,23,9,6620.479999999997,2,0,0,Potential Customers
16182,72,4,6617.650000000001,2,0,0,Potential Customers
15144,8,17,6580.440000000008,2,3,3,Loyal Customers
12472,32,7,6572.110000000003,2,0,0,Potential Customers
16814,14,21,6509.100000000002,2,3,3,Loyal Customers
12431,35,15,6487.449999999999,2,3,3,Loyal Customers
18223,4,14,6484.540000000004,2,3,3,Loyal Customers
15694,0,14,6479.399999999999,2,3,3,Loyal Customers
13225,3,7,6463.840000000001,2,0,0,Potential Customers
13102,1,24,6424.09,2,3,3,Loyal Customers
13871,22,13,6403.250000000005,2,3,3,Loyal Customers
12359,57,4,6372.580000000007,2,0,0,Potential Customers
13668,2,21,6363.589999999983,2,3,3,Loyal Customers
13709,3,13,6328.050000000001,2,3,3,Loyal Customers
15005,15,28,6316.569999999993,2,3,3,Loyal Customers
17315,1,38,6292.259999999994,2,3,3,Loyal Customers
16126,29,4,6287.770000000003,2,0,0,Potential Customers
14057,23,17,6217.960000000003,2,3,3,Loyal Customers
12357,33,1,6207.669999999996,2,0,0,Potential Customers
14060,4,19,6140.419999999998,2,3,3,Loyal Customers
13418,11,18,6127.429999999998,2,3,3,Loyal Customers
17509,57,8,6115.140000000001,2,0,0,Potential Customers
15939,89,15,6115.009999999999,2,3,3,Loyal Customers
14735,3,32,6065.69,2,3,3,Loyal Customers
12637,67,8,6021.899999999999,2,0,0,Potential Customers
13097,32,10,6010.419999999994,2,0,0,Potential Customers
13316,37,4,5977.7300000000005,2,0,0,Potential Customers
14101,73,6,5976.790000000001,2,0,0,Potential Customers
15382,14,6,5955.710000000001,2,0,0,Potential Customers
14505,17,8,5905.639999999987,2,0,0,Potential Customers
14415,1,13,5900.279999999998,2,0,0,Potential Customers
14944,29,12,5900.250000000003,2,0,0,Potential Customers
13209,30,8,5891.609999999998,2,0,0,Potential Customers
13534,2,25,5870.080000000015,2,3,3,Loyal Customers
13050,14,17,5836.860000000001,2,3,3,Loyal Customers
12720,2,25,5781.730000000001,2,3,3,Loyal Customers
15218,10,11,5756.890000000001,2,0,0,Potential Customers
17686,7,7,5739.460000000008,2,0,0,Potential Customers
13178,26,11,5725.470000000005,2,0,0,Potential Customers
16553,163,12,5719.819999999999,2,0,0,Potential Customers
13468,1,37,5704.97,2,3,3,Loyal Customers
14110,3,12,5683.149999999999,2,0,0,Potential Customers
14049,16,4,5681.719999999995,2,0,0,Potential Customers
17049,2,9,5659.980000000005,2,0,0,Potential Customers
17716,22,11,5655.990000000002,2,0,0,Potential Customers
13004,11,18,5655.91,2,3,3,Loyal Customers
18118,10,26,5653.819999999972,2,3,3,Loyal Customers
14688,7,21,5630.869999999998,2,3,3,Loyal Customers
17757,1,30,5605.289999999994,2,3,3,Loyal Customers
12481,22,10,5596.320000000001,2,0,0,Potential Customers
12839,2,14,5591.420000000002,2,3,3,Loyal Customers
16767,30,11,5580.600000000001,2,0,0,Potential Customers
16161,1,19,5575.559999999994,2,3,3,Loyal Customers
12539,22,4,5568.349999999996,2,0,0,Potential Customers
15805,23,17,5528.479999999998,2,3,3,Loyal Customers
18225,3,12,5509.12,2,0,0,Potential Customers
16609,15,7,5493.460000000006,2,0,0,Potential Customers
16985,17,10,5464.120000000002,2,0,0,Potential Customers
16265,9,9,5447.000000000002,2,0,0,Potential Customers
18198,4,17,5425.560000000004,2,3,3,Loyal Customers
12490,5,10,5417.929999999999,2,0,0,Potential Customers
17809,16,12,5411.909999999998,2,0,0,Potential Customers
16701,8,13,5398.300000000002,2,0,0,Potential Customers
17719,37,15,5396.040000000003,2,3,3,Loyal Customers
17850,372,34,5391.210000000008,1,3,3,Loyal Customers
16303,25,3,5360.629999999999,2,0,0,Potential Customers
13269,1,15,5346.23,2,3,3,Loyal Customers
15150,17,10,5314.469999999995,2,0,0,Potential Customers
17730,3,13,5298.479999999998,2,0,0,Potential Customers
17061,73,11,5232.23,2,0,0,Potential Customers
18226,44,11,5228.050000000004,2,0,0,Potential Customers
12362,3,10,5226.230000000003,2,0,0,Potential Customers
15046,9,15,5213.77,2,3,3,Loyal Customers
16258,45,5,5203.509999999999,2,0,0,Potential Customers
13756,2,14,5189.519999999996,2,3,3,Loyal Customers
16191,2,13,5180.52,2,0,0,Potential Customers
15727,16,7,5178.960000000002,2,0,0,Potential Customers
17858,5,12,5155.659999999999,2,0,0,Potential Customers
13599,1,21,5153.669999999998,2,3,3,Loyal Customers
15903,9,7,5126.76,2,0,0,Potential Customers
13941,21,5,5112.96,2,0,0,Potential Customers
17602,2,6,5102.9699999999975,2,0,0,Potential Customers
16700,8,13,5076.550000000002,2,0,0,Potential Customers
14562,3,18,5074.77,2,3,3,Loyal Customers
15301,50,12,5070.349999999998,2,0,0,Potential Customers
13139,16,7,5064.940000000003,2,0,0,Potential Customers
12432,42,5,5059.3200000000015,2,0,0,Potential Customers
15719,32,13,5045.609999999998,2,0,0,Potential Customers
17426,8,6,5037.26,2,0,0,Potential Customers
14329,17,7,5014.840000000001,2,0,0,Potential Customers
14755,9,11,5010.279999999999,2,0,0,Potential Customers
12444,21,5,5005.460000000001,2,0,0,Potential Customers
15032,256,3,4959.1,1,2,2,Lost Customers
15547,7,14,4954.839999999989,2,3,3,Loyal Customers
12437,1,18,4951.409999999998,2,3,3,Loyal Customers
12700,7,4,4939.990000000007,2,0,0,Potential Customers
15786,46,3,4932.200000000001,2,0,0,Potential Customers
14709,15,13,4921.040000000006,2,0,0,Potential Customers
17133,15,7,4892.240000000001,2,0,0,Potential Customers
12664,8,9,4881.879999999999,2,0,0,Potential Customers
12688,113,1,4873.810000000002,2,0,0,Potential Customers
14292,7,9,4871.929999999999,2,0,0,Potential Customers
17652,25,12,4867.7199999999975,2,0,0,Potential Customers
15738,18,16,4812.419999999996,2,3,3,Loyal Customers
13013,1,13,4810.940000000001,2,0,0,Potential Customers
15555,12,16,4805.169999999991,2,3,3,Loyal Customers
17365,12,8,4801.559999999998,2,0,0,Potential Customers
15298,2,12,4799.9,2,0,0,Potential Customers
15187,1,16,4777.180000000002,2,3,3,Loyal Customers
17690,30,15,4757.95,2,3,3,Loyal Customers
12955,1,11,4757.159999999999,2,0,0,Potential Customers
14180,10,25,4748.519999999997,2,3,3,Loyal Customers
15152,9,13,4745.6900000000005,2,0,0,Potential Customers
16722,17,13,4730.81,2,0,0,Potential Customers
12714,9,5,4708.859999999999,2,0,0,Potential Customers
14159,19,11,4693.009999999988,2,0,0,Potential Customers
14135,1,15,4690.31,2,3,3,Loyal Customers
14191,1,13,4684.760000000002,2,0,0,Potential Customers
15291,25,15,4668.300000000002,2,3,3,Loyal Customers
14189,2,15,4654.079999999998,2,3,3,Loyal Customers
14390,10,9,4652.820000000003,2,0,0,Potential Customers
14286,23,3,4628.749999999996,2,0,0,Potential Customers
16931,5,21,4604.21999999999,2,3,3,Loyal Customers
13802,138,3,4599.42,2,0,0,Potential Customers
15093,18,6,4597.019999999998,2,0,0,Potential Customers
14004,43,7,4582.64,2,0,0,Potential Customers
17613,22,14,4559.15,2,3,3,Loyal Customers
17068,12,21,4552.140000000004,2,3,3,Loyal Customers
12484,32,6,4541.720000000001,2,0,0,Potential Customers
13267,2,19,4521.490000000001,2,3,3,Loyal Customers
15299,67,7,4507.01,2,0,0,Potential Customers
17975,15,13,4488.810000000003,2,0,0,Potential Customers
12524,9,8,4485.72,2,0,0,Potential Customers
14426,23,10,4481.670000000001,2,0,0,Potential Customers
16984,88,2,4481.349999999996,2,0,0,Potential Customers
17364,0,11,4481.179999999996,2,0,0,Potential Customers
12627,10,7,4478.53,2,0,0,Potential Customers
14085,2,18,4448.54,2,3,3,Loyal Customers
14534,2,18,4447.049999999999,2,3,3,Loyal Customers
13069,0,24,4436.119999999998,2,3,3,Loyal Customers
15955,24,14,4416.260000000003,2,3,3,Loyal Customers
16626,0,17,4413.100000000002,2,3,3,Loyal Customers
15874,63,7,4405.879999999999,2,0,0,Potential Customers
12712,28,13,4396.129999999999,2,0,0,Potential Customers
13505,72,4,4393.629999999999,2,0,0,Potential Customers
12752,81,1,4366.78,2,0,0,Potential Customers
16945,21,19,4345.500000000008,2,3,3,Loyal Customers
14016,161,4,4341.209999999999,1,2,2,Lost Customers
14800,47,12,4339.74,2,0,0,Potential Customers
14525,19,9,4332.199999999995,2,0,0,Potential Customers
17567,7,8,4331.48,2,0,0,Potential Customers
18251,87,1,4314.719999999999,2,0,0,Potential Customers
12347,2,7,4309.999999999997,2,0,0,Potential Customers
15034,15,8,4308.609999999997,2,0,0,Potential Customers
17937,8,7,4301.22,2,0,0,Potential Customers
14422,0,6,4263.639999999997,2,0,0,Potential Customers
12500,23,11,4257.820000000001,2,0,0,Potential Customers
17419,11,12,4226.570000000001,2,0,0,Potential Customers
14277,15,3,4216.2,2,0,0,Potential Customers
15804,0,13,4206.389999999998,2,0,0,Potential Customers
17920,4,17,4204.0999999999885,2,3,3,Loyal Customers
15971,17,12,4199.85,2,0,0,Potential Customers
12747,2,11,4196.010000000001,2,0,0,Potential Customers
14146,8,5,4191.0,2,0,0,Potential Customers
18041,11,21,4183.389999999996,2,3,3,Loyal Customers
12949,30,8,4167.220000000002,2,0,0,Potential Customers
15570,7,12,4165.52,2,0,0,Potential Customers
16549,10,10,4154.639999999994,2,0,0,Potential Customers
13384,30,7,4151.93,2,0,0,Potential Customers
13555,73,4,4149.280000000002,2,0,0,Potential Customers
13988,19,6,4147.96,2,0,0,Potential Customers
15514,12,11,4139.460000000003,2,0,0,Potential Customers
12569,2,32,4124.69,2,3,3,Loyal Customers
16592,4,16,4113.679999999999,2,3,3,Loyal Customers
17940,49,10,4106.4400000000005,2,0,0,Potential Customers
17377,23,20,4100.919999999995,2,3,3,Loyal Customers
16401,1,12,4098.32,2,0,0,Potential Customers
16670,16,11,4095.900000000002,2,0,0,Potential Customers
12749,3,5,4090.880000000001,2,0,0,Potential Customers
14092,7,14,4076.910000000003,2,3,3,Loyal Customers
12449,22,4,4067.290000000001,2,0,0,Potential Customers
18087,98,2,4055.72,2,0,0,Potential Customers
14401,4,13,4051.479999999998,2,0,0,Potential Customers
12656,17,5,4051.170000000002,2,0,0,Potential Customers
12867,26,7,4036.819999999995,2,0,0,Potential Customers
13815,22,4,4027.36,2,0,0,Potential Customers
12841,4,25,4022.3499999999967,2,3,3,Loyal Customers
12957,9,8,4017.540000000003,2,0,0,Potential Customers
12378,129,1,4008.62,2,0,0,Potential Customers
14547,3,8,4007.539999999999,2,0,0,Potential Customers
16186,22,12,4006.9400000000014,2,0,0,Potential Customers
17769,12,10,3997.98,2,0,0,Potential Customers
15529,22,11,3995.2299999999977,2,0,0,Potential Customers
17001,0,11,3989.570000000001,2,0,0,Potential Customers
15416,64,4,3984.32,2,0,0,Potential Customers
17611,7,15,3984.2199999999993,2,3,3,Loyal Customers
12779,37,8,3981.360000000003,2,0,0,Potential Customers
12727,10,7,3980.7,2,0,0,Potential Customers
14299,8,9,3965.6199999999967,2,0,0,Potential Customers
13523,33,5,3964.880000000001,2,0,0,Potential Customers
13183,7,9,3957.780000000001,2,0,0,Potential Customers
17651,11,10,3945.000000000001,2,0,0,Potential Customers
12473,29,5,3938.55,2,0,0,Potential Customers
17593,3,5,3927.339999999999,2,0,0,Potential Customers
14739,4,7,3902.28,2,0,0,Potential Customers
13999,10,12,3901.810000000003,2,0,0,Potential Customers
14291,1,11,3883.249999999998,2,0,0,Potential Customers
18073,114,12,3877.520000000001,2,0,0,Potential Customers
13124,89,3,3866.329999999998,2,0,0,Potential Customers
15195,2,1,3861.0,2,0,0,Potential Customers
16717,23,6,3858.379999999999,2,0,0,Potential Customers
12662,0,11,3849.7799999999975,2,0,0,Potential Customers
16327,14,6,3844.2199999999993,2,0,0,Potential Customers
13266,11,12,3834.26,2,0,0,Potential Customers
17091,2,9,3827.760000000002,2,0,0,Potential Customers
15867,5,15,3812.6399999999994,2,3,3,Loyal Customers
12755,280,2,3811.95,1,2,2,Lost Customers
12597,19,4,3811.2200000000016,2,0,0,Potential Customers
13435,5,7,3809.889999999999,2,0,0,Potential Customers
12668,11,4,3807.150000000002,2,0,0,Potential Customers
16145,8,11,3799.4899999999952,2,0,0,Potential Customers
16655,17,6,3794.519999999997,2,0,0,Potential Customers
16168,10,27,3787.600000000001,2,3,3,Loyal Customers
16019,46,9,3786.239999999999,2,0,0,Potential Customers
12562,8,7,3781.7400000000016,2,0,0,Potential Customers
17173,5,8,3766.599999999999,2,0,0,Potential Customers
16904,4,16,3754.269999999999,2,3,3,Loyal Customers
12429,9,4,3750.400000000001,2,0,0,Potential Customers
17238,2,17,3744.65,2,3,3,Loyal Customers
14145,46,4,3742.2,2,0,0,Potential Customers
13552,66,12,3740.070000000001,2,0,0,Potential Customers
16570,15,10,3738.400000000001,2,0,0,Potential Customers
15808,306,4,3734.9700000000016,1,2,2,Lost Customers
14282,3,15,3729.340000000004,2,3,3,Loyal Customers
12502,95,5,3723.870000000001,2,0,0,Potential Customers
12647,22,12,3722.8200000000006,2,0,0,Potential Customers
13680,1,4,3722.4200000000014,2,0,0,Potential Customers
16240,24,2,3718.8000000000006,2,0,0,Potential Customers
14364,108,8,3717.349999999999,2,0,0,Potential Customers
15845,17,8,3711.769999999999,2,0,0,Potential Customers
15622,43,9,3709.560000000002,2,0,0,Potential Customers
13148,29,12,3707.120000000001,2,0,0,Potential Customers
17819,71,7,3704.869999999999,2,0,0,Potential Customers
15379,169,7,3703.289999999999,1,2,2,Lost Customers
12553,8,10,3692.280000000001,2,0,0,Potential Customers
16253,66,2,3683.8599999999983,2,0,0,Potential Customers
15581,120,13,3679.97,2,0,0,Potential Customers
15296,50,6,3672.86,2,0,0,Potential Customers
18079,45,4,3651.969999999998,2,0,0,Potential Customers
13137,10,8,3650.4100000000008,2,0,0,Potential Customers
12417,3,9,3649.100000000001,2,0,0,Potential Customers
16712,9,11,3645.429999999996,2,0,0,Potential Customers
13426,0,10,3641.319999999998,2,0,0,Potential Customers
12619,16,9,3641.2400000000007,2,0,0,Potential Customers
16440,7,5,3640.669999999999,2,0,0,Potential Customers
13381,31,6,3639.31,2,0,0,Potential Customers
17230,264,8,3638.41,1,2,2,Lost Customers
14543,28,16,3630.330000000001,2,3,3,Loyal Customers
17528,1,8,3628.500000000002,2,0,0,Potential Customers
13327,38,8,3627.769999999998,2,0,0,Potential Customers
13520,58,6,3624.35,2,0,0,Potential Customers
17576,8,19,3622.679999999998,2,3,3,Loyal Customers
14040,40,12,3614.92,2,0,0,Potential Customers
13082,126,9,3613.63,2,0,0,Potential Customers
15505,52,5,3610.960000000001,2,0,0,Potential Customers
15113,9,3,3609.330000000001,2,0,0,Potential Customers
16242,8,7,3603.2100000000014,2,0,0,Potential Customers
15484,1,4,3594.3099999999995,2,0,0,Potential Customers
14132,2,11,3586.030000000001,2,0,0,Potential Customers
17203,35,6,3563.849999999999,2,0,0,Potential Customers
17491,1,10,3558.8700000000003,2,0,0,Potential Customers
15544,9,9,3546.709999999995,2,0,0,Potential Customers
12370,51,4,3545.6899999999987,2,0,0,Potential Customers
14503,3,6,3543.2600000000025,2,0,0,Potential Customers
13448,16,6,3539.370000000001,2,0,0,Potential Customers
13334,82,3,3536.82,2,0,0,Potential Customers
12454,56,1,3528.34,2,0,0,Potential Customers
17160,31,6,3518.029999999999,2,0,0,Potential Customers
13953,7,7,3515.6800000000003,2,0,0,Potential Customers
16360,4,6,3512.5299999999997,2,0,0,Potential Customers
14395,2,9,3507.709999999999,2,0,0,Potential Customers
16131,51,6,3506.5400000000013,2,0,0,Potential Customers
14907,3,7,3501.0999999999976,2,0,0,Potential Customers
16458,2,18,3482.74,2,3,3,Loyal Customers
13993,42,9,3466.36,2,0,0,Potential Customers
13014,10,10,3466.28,2,0,0,Potential Customers
17758,19,8,3456.7,2,0,0,Potential Customers
15410,84,8,3450.840000000001,2,0,0,Potential Customers
13536,1,7,3448.289999999998,2,0,0,Potential Customers
15129,50,11,3447.4,2,0,0,Potential Customers
15974,39,7,3442.1500000000005,2,0,0,Potential Customers
17725,16,11,3439.080000000001,2,0,0,Potential Customers
15676,18,3,3435.7599999999984,2,0,0,Potential Customers
14221,42,9,3432.7999999999997,2,0,0,Potential Customers
12406,22,2,3415.3000000000006,2,0,0,Potential Customers
15981,24,8,3408.4799999999987,2,0,0,Potential Customers
13437,14,7,3408.0599999999986,2,0,0,Potential Customers
17669,42,7,3406.7200000000003,2,0,0,Potential Customers
13198,10,6,3401.239999999997,2,0,0,Potential Customers
15228,66,4,3386.71,2,0,0,Potential Customers
13842,58,9,3385.6199999999994,2,0,0,Potential Customers
15708,40,7,3364.239999999999,2,0,0,Potential Customers
16011,8,16,3362.7100000000023,2,3,3,Loyal Customers
14227,26,10,3350.9600000000014,2,0,0,Potential Customers
16818,10,11,3349.57,2,0,0,Potential Customers
16607,17,14,3347.710000000002,2,0,0,Potential Customers
17183,7,6,3347.309999999999,2,0,0,Potential Customers
13015,53,5,3346.280000000001,2,0,0,Potential Customers
12643,128,6,3344.6400000000003,2,0,0,Potential Customers
12613,57,5,3344.3799999999974,2,0,0,Potential Customers
12594,37,10,3338.219999999999,2,0,0,Potential Customers
16556,66,7,3313.79,2,0,0,Potential Customers
13373,60,3,3312.2500000000005,2,0,0,Potential Customers
14841,53,6,3295.76,2,0,0,Potential Customers
14702,1,17,3292.1399999999976,2,3,3,Loyal Customers
15632,15,8,3285.3100000000018,2,0,0,Potential Customers
12480,28,4,3281.630000000001,2,0,0,Potential Customers
